City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
245,Komsomolskiy,UZ,2/7/2022 5:05,40.4272,71.7189,40.35,87,75,6.91,broken clouds
246,Lillooet,CA,2/7/2022 5:01,50.6856,-121.942,32.05,79,85,4.59,overcast clouds
247,Kingman,US,2/7/2022 5:05,35.1894,-114.053,53.08,33,0,11.5,clear sky
248,Ahipara,NZ,2/7/2022 5:05,-35.1667,173.1667,75.24,96,98,6.33,overcast clouds
249,Madang,PG,2/7/2022 5:05,-5.2246,145.7966,87.24,68,94,9.95,overcast clouds
250,Chibombo,ZM,2/7/2022 5:05,-14.6569,28.0706,62.49,98,100,4.94,overcast clouds
251,Vila Velha,BR,2/7/2022 5:03,-20.3297,-40.2925,76.95,90,2,4,clear sky
252,Abalak,RU,2/7/2022 5:05,58.1286,68.5944,7.39,85,100,8.28,overcast clouds
253,Udachnyy,RU,2/7/2022 5:05,66.4167,112.4,-11.29,94,99,4.81,overcast clouds
254,Richards Bay,ZA,2/7/2022 5:05,-28.783,32.0377,73.36,88,84,2.53,light rain
255,Hay River,CA,2/7/2022 5:01,60.8156,-115.7999,16.57,99,77,2.98,broken clouds
256,Wattegama,LK,2/7/2022 5:05,6.7989,81.4808,81.52,57,94,10.65,overcast clouds
257,Marathon,US,2/7/2022 5:05,44.9,-89.7668,16.48,70,100,12.66,overcast clouds
258,Havelock,US,2/7/2022 5:05,34.8791,-76.9013,41.05,86,64,3,broken clouds
259,Ochamchira,GE,2/7/2022 5:05,42.7121,41.4721,35.51,75,92,6.24,overcast clouds
260,Northam,GB,2/7/2022 5:05,51.0333,-4.2167,46.26,86,20,6.29,few clouds
261,Esperance,AU,2/7/2022 5:01,-33.8667,121.9,76.84,44,11,23.29,few clouds
262,Coracora,PE,2/7/2022 5:05,-15.0333,-73.7833,50.02,80,96,1.52,overcast clouds
263,Suntar,RU,2/7/2022 5:05,62.1444,117.6319,4.21,91,100,4.68,overcast clouds
264,Ifanadiana,MG,2/7/2022 5:05,-21.3,47.6333,76.23,77,79,2.17,broken clouds
265,Antalaha,MG,2/7/2022 5:05,-14.9003,50.2788,82.17,65,32,1.83,scattered clouds
266,Chimore,BO,2/7/2022 5:04,-16.9833,-65.1333,69.66,96,100,1.28,overcast clouds
267,Beringovskiy,RU,2/7/2022 5:05,63.05,179.3167,-17.16,95,19,5.91,few clouds
268,Jalingo,NG,2/7/2022 5:05,8.8833,11.3667,69.58,20,2,4.63,clear sky
